sku,description,image_url,included_component,item_type,capacity,height_total,height_bottle_only,width,depth,neck_finish,price_1pc,price_12pc,price_144pc,price_bulk,url
GBCrclFrst100AnSpBlk,"Circle design 100 ml, 3 1/2oz frosted glass bottle with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the bea",https://www.bestbottles.com/images/store/enlarged_pics/GBCrclFrst100AnSpBlk.gif,black vintage style bulb sprayer with shiny silver collar cap,Antique Style Bulb Spray Bottles,100 ml (3.38 oz),136 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,6.08,,5.76,1050pc: $4.99,https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap
GBCrclFrst100AnSpBlk,"Circle design 100 ml, 3 1/2oz frosted glass bottle with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the bea",https://www.bestbottles.com/images/store/enlarged_pics/GBCrclFrst100AnSpBlk.gif,black vintage style bulb sprayer with shiny silver collar cap,Antique Style Bulb Spray Bottles,100 ml (3.38 oz),136 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,6.08,,5.76,1050pc: $4.99,https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap?video=true
GBCrclFrst100AnSpTslBlk,"Circle design 100 ml, 3 1/2oz frosted glass bottle with Black vintage style bulb sprayer with tasseland shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhan",https://www.bestbottles.com/images/store/enlarged_pics/GBCrclFrst100AnSpTslBlk.gif,Black vintage style bulb sprayer with tasseland shiny silver collar cap,Antique Style Bulb Spray Bottles,100 ml (3.38 oz),127 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,6.79,,6.44,1050pc: $5.58,https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-black-vintage-style-sprayer-with-tassel-shiny-silver-collar
GBCrclFrst100AnSpTslBlk,"Circle design 100 ml, 3 1/2oz frosted glass bottle with Black vintage style bulb sprayer with tasseland shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhan",https://www.bestbottles.com/images/store/enlarged_pics/GBCrclFrst100AnSpTslBlk.gif,Black vintage style bulb sprayer with tasseland shiny silver collar cap,Antique Style Bulb Spray Bottles,100 ml (3.38 oz),127 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,6.79,,6.44,1050pc: $5.58,https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-black-vintage-style-sprayer-with-tassel-shiny-silver-collar?video=true
GBCrclFrst100SpryCu,"Circle design 100 ml, 3 1/2oz frosted glass bottle with matte copper spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Circle design is a famiily of bottles available in 15ml, 30ml, 50ml and 100ml size. Pri",https://www.bestbottles.com/images/store/enlarged_pics/GBCrclFrst100SpryCu.gif,matte copper spray pump,Classic Perfume Spray Glass Bottles,100 ml (3.38 oz),130 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,3.37,,3.20,1050pc: $2.77,https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-matte-copper-spray-and-cap
GBCrclFrst100SpryCu,"Circle design 100 ml, 3 1/2oz frosted glass bottle with matte copper spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Circle design is a famiily of bottles available in 15ml, 30ml, 50ml and 100ml size. Pri",https://www.bestbottles.com/images/store/enlarged_pics/GBCrclFrst100SpryCu.gif,matte copper spray pump,Classic Perfume Spray Glass Bottles,100 ml (3.38 oz),130 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,3.37,,3.20,1050pc: $2.77,https://www.bestbottles.com/product/circle-design-100-ml-frosted-glass-bottle-matte-copper-spray-and-cap?video=true
GBCrcl100AnSpBlk,"Circle design 100 ml, 3 1/2oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the bea",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl100AnSpBlk.gif,black vintage style bulb sprayer with shiny silver collar cap,Antique Style Bulb Spray Bottles,100 ml (3.38 oz),136 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,5.61,,5.31,1050pc: $4.60,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap
GBCrcl100AnSpBlk,"Circle design 100 ml, 3 1/2oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the bea",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl100AnSpBlk.gif,black vintage style bulb sprayer with shiny silver collar cap,Antique Style Bulb Spray Bottles,100 ml (3.38 oz),136 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,5.61,,5.31,1050pc: $4.60,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap?video=true
GBCrcl100AnSpTslBlk,"Circle design 100 ml, 3 1/2oz  clear glass bottle  with Black vintage style bulb sprayer with tasseland shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhan",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl100AnSpTslBlk.gif,Black vintage style bulb sprayer with tasseland shiny silver collar cap,Antique Style Bulb Spray Bottles,100 ml (3.38 oz),127 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,6.32,,5.99,1050pc: $5.19,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-black-vintage-style-sprayer-with-tassel-shiny-silver-collar
GBCrcl100AnSpTslBlk,"Circle design 100 ml, 3 1/2oz  clear glass bottle  with Black vintage style bulb sprayer with tasseland shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhan",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl100AnSpTslBlk.gif,Black vintage style bulb sprayer with tasseland shiny silver collar cap,Antique Style Bulb Spray Bottles,100 ml (3.38 oz),127 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,6.32,,5.99,1050pc: $5.19,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-black-vintage-style-sprayer-with-tassel-shiny-silver-collar?video=true
GBCrcl100SpryCu,"Circle design 100 ml, 3 1/2oz  clear glass bottle  with matte copper spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Circle design is a family of bottles available in 15ml, 30ml, 50ml and 100ml size. Matt",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl100SpryCu.gif,matte copper spray pump,Classic Perfume Spray Glass Bottles,100 ml (3.38 oz),130 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,2.90,,2.75,1050pc: $2.38,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-matte-copper-spray-and-cap
GBCrcl100SpryCu,"Circle design 100 ml, 3 1/2oz  clear glass bottle  with matte copper spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Circle design is a family of bottles available in 15ml, 30ml, 50ml and 100ml size. Matt",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl100SpryCu.gif,matte copper spray pump,Classic Perfume Spray Glass Bottles,100 ml (3.38 oz),130 ±2 mm,105 ±2 mm,89 ±1 mm,29 ±0.5 mm,18-415,2.90,,2.75,1050pc: $2.38,https://www.bestbottles.com/product/circle-design-100-ml-glass-bottle-matte-copper-spray-and-cap?video=true
GBCrcl15SpryBlkMatt,"Circle design 15ml, 1/2oz Clear glass bottle with matte black spray. Fine mist sprayer for use with perfumes and colognes. Refillable, classic style bottle good for promotions and decants.",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl15SpryBlkMatt.gif,matte black spray. Fine mist spray,Refillable Glass Bottles with Fine Mist Sprayers,15 ml (0.51 oz),80 ±1 mm,60 ±1 mm,,17 ±0.5 mm,13-415,0.92,,0.87,1575pc: $0.76,https://www.bestbottles.com/product/circle-design-15-ml-bottle-matte-black-spray
GBCrcl15SpryBlkMatt,"Circle design 15ml, 1/2oz Clear glass bottle with matte black spray. Fine mist sprayer for use with perfumes and colognes. Refillable, classic style bottle good for promotions and decants.",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl15SpryBlkMatt.gif,matte black spray. Fine mist spray,Refillable Glass Bottles with Fine Mist Sprayers,15 ml (0.51 oz),80 ±1 mm,60 ±1 mm,,17 ±0.5 mm,13-415,0.92,,0.87,1575pc: $0.76,https://www.bestbottles.com/product/circle-design-15-ml-bottle-matte-black-spray?video=true
GBCrcl30SpryBlk,"Circle design 30 ml, clear glass bottle with sprayer and black cap. For use with cologne, perfume, air freshner, face and body spray, or room spray. Classic, Circle design is a family of bottles availabel in many sizes.",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl30SpryBlk.gif,sprayer and black cap,Classic Perfume Spray Glass Bottles,30 ml (1.01 oz),100 ±1 mm,74 ±1 mm,60 ±1 mm,20 ±0.5 mm,15-415,2.14,,2.03,1260pc: $1.76,https://www.bestbottles.com/product/circle-design-30-ml-clear-glass-bottle-sprayer-black-cap
GBCrcl30SpryBlk,"Circle design 30 ml, clear glass bottle with sprayer and black cap. For use with cologne, perfume, air freshner, face and body spray, or room spray. Classic, Circle design is a family of bottles availabel in many sizes.",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl30SpryBlk.gif,sprayer and black cap,Classic Perfume Spray Glass Bottles,30 ml (1.01 oz),100 ±1 mm,74 ±1 mm,60 ±1 mm,20 ±0.5 mm,15-415,2.14,,2.03,1260pc: $1.76,https://www.bestbottles.com/product/circle-design-30-ml-clear-glass-bottle-sprayer-black-cap?video=true
GBCrclFrst50AnSpBlk,"Circle design 50 ml, 1.7oz  frosted glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beau",https://www.bestbottles.com/images/store/enlarged_pics/GBCrclFrst50AnSpBlk.gif,black vintage style bulb sprayer with shiny silver collar cap,Antique Style Bulb Spray Bottles,50 ml (1.69 oz),115 ±2 mm,87 ±1 mm,72 ±1 mm,23 ±0.5 mm,18-415,5.65,,5.36,1080pc: $4.64,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap
GBCrclFrst50AnSpBlk,"Circle design 50 ml, 1.7oz  frosted glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beau",https://www.bestbottles.com/images/store/enlarged_pics/GBCrclFrst50AnSpBlk.gif,black vintage style bulb sprayer with shiny silver collar cap,Antique Style Bulb Spray Bottles,50 ml (1.69 oz),115 ±2 mm,87 ±1 mm,72 ±1 mm,23 ±0.5 mm,18-415,5.65,,5.36,1080pc: $4.64,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap?video=true
GBCrclFrst50AnSpTslBlk,"Circle design 50 ml, 1.7oz  frosted glass bottle  with Black vintage style bulb sprayer with tasseland shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhanc",https://www.bestbottles.com/images/store/enlarged_pics/GBCrclFrst50AnSpTslBlk.gif,Black vintage style bulb sprayer with tasseland shiny silver collar cap,Antique Style Bulb Spray Bottles,50 ml (1.69 oz),109 ±2 mm,87 ±1 mm,72 ±1 mm,23 ±0.5 mm,18-415,6.37,,6.03,1080pc: $5.23,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-black-vintage-style-sprayer-with-tassel-shiny-silver-collar
GBCrclFrst50AnSpTslBlk,"Circle design 50 ml, 1.7oz  frosted glass bottle  with Black vintage style bulb sprayer with tasseland shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhanc",https://www.bestbottles.com/images/store/enlarged_pics/GBCrclFrst50AnSpTslBlk.gif,Black vintage style bulb sprayer with tasseland shiny silver collar cap,Antique Style Bulb Spray Bottles,50 ml (1.69 oz),109 ±2 mm,87 ±1 mm,72 ±1 mm,23 ±0.5 mm,18-415,6.37,,6.03,1080pc: $5.23,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-black-vintage-style-sprayer-with-tassel-shiny-silver-collar?video=true
GBCrclFrst50SpryCu,"Circle design 50 ml, 1.7oz  frosted glass bottle  with matte copper spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Circle design is a famiily of bottles available in 15ml, 30ml, 50ml and 100ml size. Pric",https://www.bestbottles.com/images/store/enlarged_pics/GBCrclFrst50SpryCu.gif,matte copper spray pump,Classic Perfume Spray Glass Bottles,50 ml (1.69 oz),112 ±2 mm,87 ±1 mm,72 ±1 mm,23 ±0.5 mm,18-415,2.95,,2.79,1080pc: $2.42,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-matte-copper-spray-and-cap
GBCrclFrst50SpryCu,"Circle design 50 ml, 1.7oz  frosted glass bottle  with matte copper spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Circle design is a famiily of bottles available in 15ml, 30ml, 50ml and 100ml size. Pric",https://www.bestbottles.com/images/store/enlarged_pics/GBCrclFrst50SpryCu.gif,matte copper spray pump,Classic Perfume Spray Glass Bottles,50 ml (1.69 oz),112 ±2 mm,87 ±1 mm,72 ±1 mm,23 ±0.5 mm,18-415,2.95,,2.79,1080pc: $2.42,https://www.bestbottles.com/product/circle-design-50-ml-frosted-glass-bottle-matte-copper-spray-and-cap?video=true
GBCrcl50AnSpBlk,"Circle design 50 ml, 1.7oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl50AnSpBlk.gif,black vintage style bulb sprayer with shiny silver collar cap,Antique Style Bulb Spray Bottles,50 ml (1.69 oz),115 ±2 mm,87 ±1 mm,72 ±1 mm,23 ±0.5 mm,18-415,5.18,,4.91,1080pc: $4.25,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap
GBCrcl50AnSpBlk,"Circle design 50 ml, 1.7oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the beauty",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl50AnSpBlk.gif,black vintage style bulb sprayer with shiny silver collar cap,Antique Style Bulb Spray Bottles,50 ml (1.69 oz),115 ±2 mm,87 ±1 mm,72 ±1 mm,23 ±0.5 mm,18-415,5.18,,4.91,1080pc: $4.25,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap?video=true
GBCrcl50AnSpTslBlk,"Circle design 50 ml, 1.7oz  clear glass bottle  with Black vintage style bulb sprayer with tasseland shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl50AnSpTslBlk.gif,Black vintage style bulb sprayer with tasseland shiny silver collar cap,Antique Style Bulb Spray Bottles,50 ml (1.69 oz),109 ±2 mm,87 ±1 mm,72 ±1 mm,23 ±0.5 mm,18-415,5.89,,5.58,1080pc: $4.84,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-black-vintage-style-sprayer-with-tassel-shiny-silver-collar
GBCrcl50AnSpTslBlk,"Circle design 50 ml, 1.7oz  clear glass bottle  with Black vintage style bulb sprayer with tasseland shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl50AnSpTslBlk.gif,Black vintage style bulb sprayer with tasseland shiny silver collar cap,Antique Style Bulb Spray Bottles,50 ml (1.69 oz),109 ±2 mm,87 ±1 mm,72 ±1 mm,23 ±0.5 mm,18-415,5.89,,5.58,1080pc: $4.84,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-black-vintage-style-sprayer-with-tassel-shiny-silver-collar?video=true
GBCrcl50SpryCu,"Circle design 50 ml, 1.7oz  clear glass bottle  with matte copper spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Circle design is a famiily of bottles available in 15ml, 30ml, 50ml and 100ml size.",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl50SpryCu.gif,matte copper spray pump,Classic Perfume Spray Glass Bottles,50 ml (1.69 oz),112 ±2 mm,87 ±1 mm,72 ±1 mm,23 ±0.5 mm,18-415,2.47,,2.34,1080pc: $2.03,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-matte-copper-spray-and-cap
GBCrcl50SpryCu,"Circle design 50 ml, 1.7oz  clear glass bottle  with matte copper spray pump. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray. Circle design is a famiily of bottles available in 15ml, 30ml, 50ml and 100ml size.",https://www.bestbottles.com/images/store/enlarged_pics/GBCrcl50SpryCu.gif,matte copper spray pump,Classic Perfume Spray Glass Bottles,50 ml (1.69 oz),112 ±2 mm,87 ±1 mm,72 ±1 mm,23 ±0.5 mm,18-415,2.47,,2.34,1080pc: $2.03,https://www.bestbottles.com/product/circle-design-50-ml-glass-bottle-matte-copper-spray-and-cap?video=true
GBCyl100AnSpBlk,"Cylinder design 100 ml, 3 1/2oz  clear glass bottle  with black vintage style bulb sprayer with shiny silver collar cap. For use with cologne, Eau de Parfum, air freshner, face and body spray, or room spray.  Antique or vintage bulb sprayers enhance the b",https://www.bestbottles.com/images/store/enlarged_pics/GBCyl100AnSpBlk.gif,black vintage style bulb sprayer with shiny silver collar cap,Antique Style Bulb Spray Bottles,100 ml (3.38 oz),199 ±2 mm,154 ±2 mm,,,18-415,5.61,,5.31,1400pc: $4.60,https://www.bestbottles.com/product/cylinder-design-100-ml-glass-bottle-black-vintage-style-bulb-sprayer-shiny-silver-collar-cap
